seller_id,seller_zip_code_prefix,seller_city,seller_state
1f7fd2a6fcd5a6fa5d8a4dabc72aaae0,95800,venancio aires,RS
6e1862e15f33d9994bc25922a85e1efc,13505,rio claro,SP
e628d4a53c109f09ca88098338b3a3f5,30170,belo horizonte,MG
0249d282d911d23cb8b869ab49c99f53,5676,sao paulo,SP
bdae679a9b282249bc23b9b69dae9a99,72210,brasilia,DF
58e4b302b54937e55a678c4d15111da4,83402,colombo,PR
c3e1abd72a42fe690fcd89cf5720fe29,13840,mogi guacu,SP
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
33dd941c27854f7625b968cc6195a552,29107,vila velha,ES
1d953075c2f0dd990bacf27b83b330f1,30421,belo horizonte,MG
9803a40e82e45418ab7fb84091af5231,75901,rio verde,GO
88ae906ea2acf6971f26c3e8b7cb4357,1550,sao paulo,SP
39d61be7a92eb77b7da367bd4845bc0e,13420,sao paulo,SP
6b1c4d4d9ccf0be3d8544eb0e71e5318,91130,porto alegre,RS
422be4cc81a457fdb46f47edeb968ae5,14940,ibitinga,SP
5b97c06a046398e7005b2b7c0d707a92,38770,joao pinheiro,MG
e4253cef933647000a82ff39c67b7bde,5856,sao paulo,SP
7586919161935337bf6b6d7ff5779648,21921,rio de janeiro,RJ
c33a5c3c983090c8b78a28e65052a20d,88802,criciuma,SC
71271995e85f5b8530be99ed54a91b89,91360,porto alegre,RS
50c361bcf670d16f6df4d52de3dff924,4131,sao paulo,SP
5a8e7d5003a1f221f9e1d6e411de7c23,13076,campinas,SP
48162d548f5b1b11b9d29d1e01f75a61,13403,piracicaba,SP
7daca0837f033a41a6f3428c18657533,15170,tanabi,SP
80ceebb4ee9b31afb6c6a916a574a1e2,86026,londrina,PR
270d3ef21830ad0ecf3a6c53d08a533a,6380,carapicuiba,SP
700f03c207639c22d933381ff60b35c2,14784,barretos,SP
818d28f936e791926d33bcb6ee94ef79,4141,sao paulo,SP
fe87f472055fbcf1d7e691c00b1560dc,13085,campinas,SP
b8578d2d823bd8e251f6fdd02b40902d,89069,blumenau,SC
ffc470761de7d0232558ba5e786e57b7,7091,guarulhos,SP
54219883e72aad869adfb2a54b7bfa0f,18060,sorocaba,SP
62de60d81c55c29d76a6bce418b31cef,14940,ibitinga,SP
7dc8c42cc750eeafea6c85712ffee9bf,5424,sao paulo,SP
f12d3c2a14729ae461b920c11fe20fdc,9080,santo andre,SP
2d8cfba3fcd3170555941605edaa196a,6080,osasco,SP
bc302730ea8cf49b5c74f579febb5bbf,13015,campinas,SP
d8d9567d0bfb0bc7eb845a205ba42657,3688,sao paulo,SP
b026643914f651e8371425e5b8a1e780,22783,rio de janeiro,RJ
28872dc528e978a639754bc8c2ce5a4c,95070,caxias do sul,RS
4aba391bc3b88717ce08eb11e44937b2,45816,arraial d'ajuda (porto seguro),BA
0aa2205ca24f113f4658a5c536667426,4281,sao paulo,SP
6b3bd31ad8fcda4b2635ec9f3ff2ecdf,22775,rio de janeiro,RJ
640e21a7d01df7614a3b4923e990d40c,14940,ibitinga,SP
f0837c8d71434931d9e38e7b79234797,95995,arvorezinha,RS
28fb0829fd777877cdc350d25cb5bd5b,15051,sao jose do rio pret,SP
71593c7413973a1e160057b80d4958f6,3407,sao paulo / sao paulo,SP
61f159ef6da2d441951d2c0efa719362,29160,serra,ES
0725b8c0f3f906e58f70cbe76b7c748c,7023,guarulhos,SP
c840d3fdbba0790404fdae73d253b253,81530,curitiba,PR
68f86ba270525243e68ae74044f992b9,21941,rio de janeiro,RJ
dd8a29ce82d5c705ba932d81494600a5,8220,sao paulo,SP
c9a06ece156bb057372c68718ec8909b,73020,brasilia,DF
8e4f041ff58e7845456d3482524014b3,90250,porto alegre,RS
6973a06f484aacf400ece213dbf3d946,12230,sao jose dos campos,SP
6806dad1da97bfb5a9038eac6881f706,83280,guaratuba,PR
8ae520247981aa06bc94abddf5f46d34,88370,navegantes,SC
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP
59de1d4c8c057c2a53acd4ca66531af2,80215,curitiba,PR
661ad5fcc28cdfb8bcadb12bb2272475,88330,balneario camboriu,SC
822bad9bc42b51213ba522fe87b7ab5d,88330,balneario camboriu,SC
b6f52e346160519c24a23af05410ad32,1254,sao paulo,SP
9da1ca0bef29ee170e541927a5aeabdc,15500,votuporanga,SP
081acf3de680d554796c9cf041be7bc2,33200,vespasiano,MG
8648b1e89e9b349e32d3741b30ec737e,12308,jacarei,SP
c7246702dc991a06d788120dc7544391,60440,fortaleza,CE
4bde6149c15cf7e177b36fa060dd6de8,99500,carazinho,RS
da4d149c0ddbac90557103ac0a0ec356,9861,sbc,SP
13f57c12a00ed4610db646b913a7f5c6,11015,santos,SP
432c67955c0acd1fd6b0b5d678766a71,5571,sao paulo,SP
34675b28b826facfde119785bf287dc1,85802,cascavael,PR
9add47bf45ce8e8c7db6b9cf670b1e09,83830,fazenda rio grande,PR
9cea4682e16655f7da87f406902e989e,83707,araucaria,PR
ede2977fbaf3738583170735ca403f6c,80010,curitiba,PR
c97aa4ee7420f937da13b7f9e2228b99,93510,novo hamburgo,RS
7fe21dd00d2f4943ae09525efa2fd674,20551,rio de janeiro,RJ
f3b80352b986ab4d1057a4b724be19d0,71200,brasilia,DF
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP
85e7c62c1d6ea078c3897424f867a7c8,88220,itapema,SC
55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,SP
1660ad786c27fd935378b6192a90b417,9891,sao bernardo do campo,SP
228e4c1a0be164f613d41c24345f9d2c,86360,bandeirantes,PR
7a2d2949aea47fab95fd98d6c9f618b1,81350,curitiba,PR
c4af86330efa7a2620772227d2d670c9,8840,mogi das cruzes,SP
7f40d06aa0b5f1aa4f41af8c0480e2ef,13506,rio claro,SP
1d2732ef8321502ee8488e8bed1ab8cd,20031,rio de janeiro,RJ
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
e00d85ce20ea50c1224c66ca5050527d,6286,osasco,SP
0aa124728afc1131dff5655f4c6f487b,37135,alfenas,MG
013900e863eace745d3ec7614cab5b1a,80740,curitiba,PR
3febca52652e7209509ccfe61cbde40e,8596,itaquaquecetuba,SP
52092ddbd3a58c450a4459bf051b2287,17300,dois corregos,SP
c12d7463a579237ffb9248bd7cff378b,8275,sao paulo,SP
9ac75591b69c3402684b6ce0310f22ee,2880,sao paulo,SP
c33847515fa6305ce6feb1e818569f13,88359,brusque,SC
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP
7238a95bb63ef7e498389fb863b834a1,13487,limeira,SP
6dc9bec584588412a6a338830946a3e4,3270,sao paulo,SP
ae7ab174effdead6c241e547e4ca13f0,86703,arapongas,PR
4be9ae93c4fc0f41713d71a4194ee1b3,35500,divinopolis,MG
